cost,Area,type,no.of bed,Bathrooms,Location
"3,150,000 AED","4,116 sqft",Villa,5,5,"Pelham, Akoya Park, DAMAC Hills (Akoya by DAMAC), Dubai"
"748,888 AED",427 sqft,Apartment,Studio,1,"Bay's Edge, Business Bay, Dubai"
"810,000 AED","1,373 sqft",Apartment,2,3,"Hydra Avenue Towers, City Of Lights, Al Reem Island, Abu Dhabi"
"6,800,000 AED","4,070 sqft",Apartment,4,4,"D1 Tower, Culture Village, Dubai"
"3,700,000 AED","4,648 sqft",Villa,4,4,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
"1,430,000 AED",617 sqft,Apartment,Studio,1,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai"
"2,800,000 AED","3,201 sqft",Villa,4,5,"Calida, Victory Heights, Dubai Sports City, Dubai"
"18,999,000 AED","5,365 sqft",Penthouse,5,6,"Vida Residence Downtown, Downtown Dubai, Dubai"
"5,800,000 AED","8,900 sqft",Villa,6,6,"Ponderosa, The Villa, Dubai"
"750,000 AED",950 sqft,Apartment,2,2,"Warda Apartments 1A, Warda Apartments, Town Square, Dubai"
"17,661,150 AED","27,171 sqft",Land,,,"The Square, Al Mamzar, Deira, Dubai"
"980,693 AED","1,316 sqft",Apartment,2,3,"Aria, Jumeirah Village Circle, Dubai"
"3,500,000 AED","4,672 sqft",Villa,4,4,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
"2,350,000 AED","1,780 sqft",Apartment,3,3,"C2, The Hills C, The Hills, Dubai"
"620,190 AED",840 sqft,Apartment,1,2,"Rigel, Jumeirah Village Circle, Dubai"
"4,999,000 AED","4,238 sqft",Villa,5,5,"Al Mahra, Arabian Ranches, Dubai"
"1,250,000 AED","1,081 sqft",Apartment,1,2,"Sky Gardens, DIFC, Dubai"
"65,000,000 AED","39,448 sqft",Villa,7+,7+,"Sector L, Emirates Hills, Dubai"
"691,000 AED",696 sqft,Apartment,1,1,"Bloom Towers, Jumeirah Village Circle, Dubai"
"2,371,000 AED","1,723 sqft",Apartment,2,3,"Damac Heights, Dubai Marina, Dubai"
"1,700,000 AED","1,656 sqft",Apartment,2,4,"Mada Residences by ARTAR, Downtown Dubai, Dubai"
"950,000 AED","1,087 sqft",Apartment,1,1,"Al Ghozlan 1, Al Ghozlan, Greens, Dubai"
"1,950,000 AED","1,638 sqft",Apartment,3,4,"Mulberry, Park Heights, Dubai Hills Estate, Dubai"
"6,200,000 AED","14,250 sqft",Land,,,"Emerald Hills, Dubai Hills Estate, Dubai"
"8,600,000 AED","19,400 sqft",Land,,,"Emerald Hills, Dubai Hills Estate, Dubai"
"1,900,000 AED","1,538 sqft",Apartment,2,3,"Boulevard Crescent 1, BLVD Crescent, Downtown Dubai, Dubai"
"1,100,000 AED","1,101 sqft",Apartment,1,2,"Murjan 2, Murjan, Jumeirah Beach Residence, Dubai"
"24,999,999 AED","7,000 sqft",Villa,6,7,"Signature Villas Frond D, Signature Villas, Palm Jumeirah, Dubai"
"800,000 AED",837 sqft,Apartment,Studio,1,"Sky Gardens, DIFC, Dubai"
"570,000 AED",462 sqft,Apartment,Studio,1,"Waters Edge, Yas Island, Abu Dhabi"
"23,000,000 AED","7,018 sqft",Penthouse,4,6,"The Address Downtown Hotel, Downtown Dubai, Dubai"
"1,450,000 AED","1,408 sqft",Apartment,2,3,"Ansam, Yas Island, Abu Dhabi"
"1,500,000 AED",640 sqft,Apartment,1,2,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"3,320,000 AED","1,790 sqft",Apartment,3,5,"The 8, The Crescent, Palm Jumeirah, Dubai"
"2,800,000 AED","3,272 sqft",Villa,4,5,"Hemaim Community, Al Raha Gardens, Abu Dhabi"
"6,500,000 AED","2,448 sqft",Apartment,3,4,"Oceana Adriatic, Oceana, Palm Jumeirah, Dubai"
"2,700,000 AED","2,070 sqft",Apartment,3,3,"Burj Daman, DIFC, Dubai"
"1,600,000 AED","1,066 sqft",Apartment,2,2,"Silverene Tower A, Silverene, Dubai Marina, Dubai"
"2,100,000 AED","2,578 sqft",Villa,3,4,"The Field, DAMAC Hills (Akoya by DAMAC), Dubai"
"5,500,000 AED","5,200 sqft",Villa,5,7,"Millennium Estates, Meydan Gated Community, Meydan, Dubai"
"1,270,000 AED","2,056 sqft",Apartment,2,4,"Madina Tower, Lake Elucio, Jumeirah Lake Towers, Dubai"
"615,300 AED",853 sqft,Apartment,1,2,"Rigel, Jumeirah Village Circle, Dubai"
"7,000,000 AED","3,051 sqft",Apartment,4,5,"La Vie, Jumeirah Beach Residence, Dubai"
"8,000,000 AED","8,615 sqft",Land,,,"Nikki Beach Resort and Spa Dubai, Pearl Jumeirah, Jumeirah, Dubai"
"26,950,000 AED","16,965 sqft",Villa,6,6,"Sector P, Emirates Hills, Dubai"
"625,000 AED",767 sqft,Apartment,1,2,"Pantheon Elysee, Jumeirah Village Circle, Dubai"
"1,275,000 AED","2,190 sqft",Townhouse,3,3,"Noor Townhouses, Town Square, Dubai"
"6,325,000 AED","8,686 sqft",Villa,5,6,"Lime Tree Valley, Earth, Jumeirah Golf Estates, Dubai"
"800,000 AED",670 sqft,Apartment,1,1,"Waters Edge, Yas Island, Abu Dhabi"
"659,005 AED",671 sqft,Apartment,1,2,"Aria, Jumeirah Village Circle, Dubai"
"2,300,000 AED","1,715 sqft",Apartment,2,3,"Al Mesk Tower, Emaar 6 Towers, Dubai Marina, Dubai"
"5,100,000 AED","7,741 sqft",Villa,5,6,"DAMAC Villas by Paramount Hotels and Resorts, DAMAC Hills (Akoya by DAMAC), Dubai"
"439,000 AED",442 sqft,Apartment,Studio,1,"Aria, Jumeirah Village Circle, Dubai"
"1,000,000 AED","1,336 sqft",Apartment,2,3,"Beverly Residence, Jumeirah Village Circle, Dubai"
"661,101 AED",629 sqft,Apartment,1,2,"Aria, Jumeirah Village Circle, Dubai"
"610,000 AED",746 sqft,Apartment,1,1,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"420,000 AED",450 sqft,Apartment,Studio,1,"Beverly Residence, Jumeirah Village Circle, Dubai"
"1,310,000 AED","2,000 sqft",Apartment,3,3,"Leonardo Residences, Masdar City, Abu Dhabi"
"1,395,000 AED","1,773 sqft",Villa,3,3,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"1,100,000 AED",930 sqft,Apartment,1,2,"RP Heights, Downtown Dubai, Dubai"
"630,496 AED",789 sqft,Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"1,756,777 AED","8,137 sqft",Land,,,"Al Jurf, Ghantoot, Abu Dhabi"
"650,000 AED",690 sqft,Apartment,1,1,"Beverly Residence, Jumeirah Village Circle, Dubai"
"2,600,000 AED","1,469 sqft",Apartment,2,4,"Mon Reve, Downtown Dubai, Dubai"
"2,300,000 AED","1,600 sqft",Apartment,2,3,"Damac Heights, Dubai Marina, Dubai"
"899,000 AED","1,126 sqft",Apartment,2,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"4,950,000 AED","5,285 sqft",Villa,4,4,"Entertainment Foyer, Mediterranean Clusters, Jumeirah Islands, Dubai"
"265,000 AED","3,000 sqft",Land,,,"Al Helio 2, Al Helio, Ajman"
"340,000 AED",419 sqft,Apartment,Studio,1,"Crystal Residence, Jumeirah Village Circle, Dubai"
"6,600,000 AED","14,750 sqft",Land,,,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"1,685,000 AED","2,275 sqft",Villa,3,4,"Phase 2, Al Furjan, Dubai"
"1,450,000 AED",840 sqft,Apartment,1,2,"The Address Residence Fountain Views 1, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"2,400,000 AED","3,000 sqft",Villa,3,5,"Brookfield 2, Brookfield, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,100,000 AED","1,268 sqft",Apartment,2,3,"Soho Square, Saadiyat Island, Abu Dhabi"
"1,800,000 AED","2,184 sqft",Apartment,3,4,"Al Shahla, Shoreline Apartments, Palm Jumeirah, Dubai"
"5,450,000 AED","6,509 sqft",Villa,4,4,"Sienna Lakes, Fire, Jumeirah Golf Estates, Dubai"
"625,000 AED","1,100 sqft",Apartment,1,2,"Botanica, Jumeirah Village Circle, Dubai"
"2,551,888 AED","1,252 sqft",Apartment,2,3,"Grand Bleu Tower, EMAAR Beachfront, Dubai Harbour, Dubai"
"5,000,000 AED","5,126 sqft",Villa,5,5,"Terra Nova, Arabian Ranches, Dubai"
"1,715,888 AED",789 sqft,Apartment,1,1,"Grand Bleu Tower, EMAAR Beachfront, Dubai Harbour, Dubai"
"4,179,888 AED","7,830 sqft",Land,,,"Emerald Hills, Dubai Hills Estate, Dubai"
"1,685,000 AED","2,260 sqft",Townhouse,3,4,"Phase 2, Al Furjan, Dubai"
"1,150,000 AED","1,323 sqft",Apartment,3,4,"Beverly Residence, Jumeirah Village Circle, Dubai"
"2,100,000 AED","2,992 sqft",Townhouse,3,3,"Mediterranean Villas, Jumeirah Village Triangle, Dubai"
"5,796,888 AED","1,861 sqft",Apartment,3,3,"Grande, Opera District, Downtown Dubai, Dubai"
"3,699,000 AED","3,523 sqft",Villa,4,4,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai"
"975,000 AED","1,442 sqft",Apartment,2,3,"The Belvedere, Dubai Marina, Dubai"
"3,450,000 AED","5,123 sqft",Villa,4,4,"Sidra Villas III, Sidra Villas, Dubai Hills Estate, Dubai"
"3,300,000 AED","1,765 sqft",Apartment,2,3,"Anantara Residences - South, Anantara Residences, Palm Jumeirah, Dubai"
"615,000 AED",881 sqft,Apartment,1,2,"MAG 218, Dubai Marina, Dubai"
"2,800,000 AED","3,715 sqft",Villa,3,3,"Rahat, Mudon, Dubai"
"1,840,000 AED","1,345 sqft",Apartment,2,3,"Fairfield Tower, Park Island, Dubai Marina, Dubai"
"3,500,000 AED","3,562 sqft",Apartment,3,5,"The Atlantic, Dubai Marina, Dubai"
"2,299,998 AED","1,338 sqft",Apartment,2,3,"Boulevard Point, Downtown Dubai, Dubai"
"3,199,999 AED","4,301 sqft",Villa,5,,"The Aldea, The Villa, Dubai"
"1,300,000 AED","1,481 sqft",Apartment,2,4,"Reef Residence, District 13, Jumeirah Village Circle, Dubai"
"3,950,000 AED","3,882 sqft",Apartment,3,6,"Emirates Crown, Dubai Marina, Dubai"
"875,000 AED",982 sqft,Apartment,2,2,"La Riviera, Dubai Marina, Dubai"
"2,400,000 AED","2,531 sqft",Townhouse,3,5,"The Polo Townhouses, Meydan Gated Community, Meydan, Dubai"
"2,350,000 AED","3,619 sqft",Apartment,3,5,"The Jewel Tower B, The Jewels, Dubai Marina, Dubai"
"2,350,000 AED","1,356 sqft",Apartment,2,3,"The 8, The Crescent, Palm Jumeirah, Dubai"
"2,100,000 AED","2,430 sqft",Apartment,2,3,"Marina Quay East, Marina Quays, Dubai Marina, Dubai"
"1,075,000 AED","1,735 sqft",Apartment,3,4,"The Zen Tower, Dubai Marina, Dubai"
"1,375,000 AED","1,450 sqft",Apartment,2,2,"Mosela Waterside Residences, Mosela, The Views, Dubai"
Ask for price,"5,215 sqft",Apartment,4,5,"Diamond, Tiara Residences, Palm Jumeirah, Dubai"
"2,150,000 AED","2,228 sqft",Villa,3,3,"Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"3,500,000 AED","3,499 sqft",Apartment,3,4,"Golden Mile 10, Golden Mile, Palm Jumeirah, Dubai"
"1,450,000 AED","1,600 sqft",Townhouse,3,4,"Trinity, DAMAC Hills (Akoya by DAMAC), Dubai"
"2,888,000 AED","2,161 sqft",Townhouse,3,4,"Jumeirah Luxury, Jumeirah Golf Estates, Dubai"
"617,000 AED",840 sqft,Apartment,1,2,"Rigel, Jumeirah Village Circle, Dubai"
"899,504 AED","1,231 sqft",Apartment,2,3,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"981,000 AED","1,156 sqft",Apartment,2,3,"Pantheon Elysee, Jumeirah Village Circle, Dubai"
"980,000 AED","1,028 sqft",Apartment,2,3,"Aria, Jumeirah Village Circle, Dubai"
"659,009 AED",668 sqft,Apartment,1,2,"Aria, Jumeirah Village Circle, Dubai"
"3,399,999 AED","4,800 sqft",Villa,5,5,"Hacienda, The Villa, Dubai"
"2,899,000 AED","2,870 sqft",Apartment,4,5,"Rimal 2, Rimal, Jumeirah Beach Residence, Dubai"
"1,275,000 AED","1,200 sqft",Apartment,2,3,"Hyati Avenue, Jumeirah Village Circle, Dubai"
"899,503 AED","1,231 sqft",Apartment,2,3,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"8,999,999 AED","13,000 sqft",Land,,,"Emerald Hills, Dubai Hills Estate, Dubai"
"4,450,000 AED","9,850 sqft",Land,,,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"4,450,000 AED","9,850 sqft",Land,,,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"976,000 AED","1,029 sqft",Apartment,2,3,"Aria, Jumeirah Village Circle, Dubai"
"1,400,000 AED","2,295 sqft",Villa,3,3,"Mira Oasis 3, Mira Oasis, Reem, Dubai"
"612,000 AED",748 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"640,000 AED",817 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"899,502 AED","1,231 sqft",Apartment,2,3,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"1,300,000 AED","1,616 sqft",Apartment,2,2,"Al Sidir 2, Al Sidir, Greens, Dubai"
"3,200,000 AED","3,566 sqft",Villa,3,3,"Alvorada 2, Alvorada, Arabian Ranches, Dubai"
"5,500,000 AED","5,176 sqft",Villa,5,5,"Calida, Victory Heights, Dubai Sports City, Dubai"
Ask for price,"2,368 sqft",Penthouse,4,5,"Beach Vista, EMAAR Beachfront, Dubai Harbour, Dubai"
"3,830,000 AED","9,300 sqft",Land,,,"Nikki Beach Resort and Spa Dubai, Pearl Jumeirah, Jumeirah, Dubai"
"10,200,000 AED","18,000 sqft",Land,,,"Emerald Hills, Dubai Hills Estate, Dubai"
"659,000 AED",669 sqft,Apartment,1,2,"Aria, Jumeirah Village Circle, Dubai"
"910,000 AED","1,130 sqft",Apartment,2,3,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"13,000,000 AED","6,150 sqft",Villa,5,5,"Hattan 1, Hattan, The Lakes, Dubai"
"13,750,000 AED","6,800 sqft",Villa,5,6,"Garden Homes Frond C, Garden Homes, Palm Jumeirah, Dubai"
"2,500,000 AED","1,445 sqft",Hotel & Hotel Apartment,2,2,"The Address Residence Fountain Views 1, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"2,400,000 AED","2,627 sqft",Villa,3,4,"Al Reem 3, Al Reem, Arabian Ranches, Dubai"
Ask for price,"20,000 sqft",Land,,,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"3,200,000 AED","3,201 sqft",Villa,4,4,"Esmeralda, Victory Heights, Dubai Sports City, Dubai"
"645,000 AED",818 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"899,500 AED","1,231 sqft",Apartment,2,3,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"389,000 AED",400 sqft,Apartment,Studio,1,"Oxford Boulevard, Jumeirah Village Circle, Dubai"
"10,500,000 AED","5,000 sqft",Villa,4,,"Garden Homes Frond A, Garden Homes, Palm Jumeirah, Dubai"
"1,700,000 AED","1,366 sqft",Apartment,2,3,"Marina Quay West, Marina Quays, Dubai Marina, Dubai"
"3,000,000 AED","3,102 sqft",Villa,3,4,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
"1,095,000 AED","1,443 sqft",Apartment,2,3,"Al Andalus, Jumeirah Golf Estates, Dubai"
"1,650,000 AED","2,551 sqft",Villa,4,4,"Mira Oasis 2, Mira Oasis, Reem, Dubai"
"2,730,000 AED","2,900 sqft",Townhouse,4,4,"Royal Park, Jumeirah Park, Dubai"
"390,000 AED",466 sqft,Apartment,Studio,1,"Genesis by Meraki, Arjan, Dubai"
"1,750,000 AED","2,456 sqft",Villa,3,3,"Springs 10, The Springs, Dubai"
"3,870,000 AED","1,897 sqft",Apartment,3,2,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"19,750,000 AED","13,579 sqft",Land,,,"Signature Villas Frond N, Signature Villas, Palm Jumeirah, Dubai"
"2,150,000 AED","1,737 sqft",Apartment,2,3,"Cayan Tower, Dubai Marina, Dubai"
"1,350,000 AED","2,371 sqft",Townhouse,3,4,"Mira Oasis 1, Mira Oasis, Reem, Dubai"
"700,000 AED","1,430 sqft",Apartment,2,3,"Lagoon B5, The Lagoons, Mina Al Arab, Ras Al Khaimah"
"2,725,000 AED","3,166 sqft",Villa,3,2,"Saheel 2, Saheel, Arabian Ranches, Dubai"
"1,999,999 AED","1,144 sqft",Apartment,2,2,"5242, Dubai Marina, Dubai"
"430,000 AED",388 sqft,Apartment,Studio,1,"Park Vista, Jumeirah Village Circle, Dubai"
"3,999,000 AED","4,334 sqft",Villa,5,5,"Carmen, Victory Heights, Dubai Sports City, Dubai"
"2,749,000 AED","3,063 sqft",Villa,3,4,"Legacy, Jumeirah Park, Dubai"
"5,790,000 AED","2,590 sqft",Apartment,4,5,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"2,460,000 AED","1,160 sqft",Apartment,2,3,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"1,350,000 AED","2,100 sqft",Townhouse,3,4,"Noor Townhouses, Town Square, Dubai"
"5,700,000 AED","4,042 sqft",Apartment,4,5,"Limestone House, DIFC, Dubai"
"1,000,000 AED","1,855 sqft",Villa,3,4,"Expo Golf Villas, EMAAR South, Dubai South (Dubai World Central), Dubai"
"75,000,000 AED","13,110 sqft",Villa,6,6,"Signature Villas Frond M, Signature Villas, Palm Jumeirah, Dubai"
"1,600,000 AED",639 sqft,Apartment,1,2,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"720,000 AED","1,052 sqft",Apartment,2,2,"Genesis by Meraki, Arjan, Dubai"
"1,397,790 AED","1,675 sqft",Apartment,2,3,"The Galleries at Meydan Avenue, Meydan Avenue, Meydan, Dubai"
"720,000 AED","1,052 sqft",Apartment,2,2,"Genesis by Meraki, Arjan, Dubai"
"5,700,000 AED","4,042 sqft",Apartment,4,5,"Limestone House, DIFC, Dubai"
"1,000,000 AED","1,855 sqft",Villa,3,4,"Expo Golf Villas, EMAAR South, Dubai South (Dubai World Central), Dubai"
"8,000,000 AED","7,581 sqft",Villa,4,5,"District One Villas, District One, Mohammed Bin Rashid City, Dubai"
"4,500,000 AED","11,288 sqft",Land,,,"Fairway Vistas, Dubai Hills, Dubai Hills Estate, Dubai"
"3,000,000 AED","2,755 sqft",Apartment,3,4,"Murjan Tower, Emaar 6 Towers, Dubai Marina, Dubai"
"6,500,000 AED","7,315 sqft",Villa,4,7,"Al Forsan Village, Khalifa City, Abu Dhabi"
"2,600,000 AED","1,480 sqft",Apartment,3,4,"Creekside 18 A, Creekside 18, Dubai Creek Harbour (The Lagoons), Dubai"
"980,000 AED","1,503 sqft",Apartment,3,3,"Sulafa Tower, Dubai Marina, Dubai"
"1,680,088 AED","1,390 sqft",Apartment,2,3,"Murjan 1, Murjan, Jumeirah Beach Residence, Dubai"
"2,193,710 AED","1,515 sqft",Apartment,2,3,"AG Tower, Business Bay, Dubai"
"4,308,000 AED","9,574 sqft",Land,,,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"3,100,000 AED","2,918 sqft",Apartment,4,3,"Murjan 5, Murjan, Jumeirah Beach Residence, Dubai"
"1,950,000 AED","5,000 sqft",Villa,5,7+,"Al Mwaihat 3, Al Mwaihat, Ajman"
"45,950,000 AED","27,819 sqft",Land,,,"Signature Villas Frond N, Signature Villas, Palm Jumeirah, Dubai"
"15,500,000 AED","5,583 sqft",Penthouse,5,6,"Port de La Mer, La Mer, Jumeirah, Dubai"
"12,999,999 AED","32,000 sqft",Land,,,"Dubai Hills View, Dubai Hills Estate, Dubai"
"5,450,000 AED","6,609 sqft",Villa,4,5,"Sienna Lakes, Fire, Jumeirah Golf Estates, Dubai"
"1,999,990 AED","3,270 sqft",Villa,4,5,"The Dreamz, Al Furjan, Dubai"
"2,500,000 AED","1,723 sqft",Apartment,2,3,"The Fairmont Palm Residence South, The Fairmont Palm Residences, Palm Jumeirah, Dubai"
"3,800,000 AED","2,000 sqft",Apartment,3,4,"The Residences at District One, Mohammed Bin Rashid City, Dubai"
"411,000 AED",424 sqft,Apartment,Studio,1,"Hydra Avenue Towers, City Of Lights, Al Reem Island, Abu Dhabi"
"1,900,000 AED","4,700 sqft",Villa,5,7,"Al Mwaihat 3, Al Mwaihat, Ajman"
"950,000 AED",971 sqft,Apartment,2,2,"The Bridges, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"1,170,000 AED",914 sqft,Apartment,1,1,"Tower A, DAMAC Towers by Paramount, Business Bay, Dubai"
"12,500,000 AED","5,500 sqft",Villa,5,6,"Garden Homes Frond E, Garden Homes, Palm Jumeirah, Dubai"
"3,600,000 AED","4,687 sqft",Villa,4,4,"Sidra Villas III, Sidra Villas, Dubai Hills Estate, Dubai"
"1,999,990 AED","3,270 sqft",Villa,4,5,"The Dreamz, Al Furjan, Dubai"
"5,450,000 AED","6,609 sqft",Villa,4,5,"Sienna Lakes, Fire, Jumeirah Golf Estates, Dubai"
"411,000 AED",424 sqft,Apartment,Studio,1,"Hydra Avenue Towers, City Of Lights, Al Reem Island, Abu Dhabi"
"1,300,000 AED","1,534 sqft",Apartment,2,3,"The Polo Residence, Meydan Avenue, Meydan, Dubai"
"1,350,000 AED","1,453 sqft",Apartment,2,3,"Ocean Terrace, Marina Square, Al Reem Island, Abu Dhabi"
"1,750,000 AED","1,615 sqft",Apartment,2,3,"Central Park Residential Tower, Central Park Tower, DIFC, Dubai"
"16,000,000 AED","16,346 sqft",Villa,6,7,"Sector E, Emirates Hills, Dubai"
"5,500,000 AED","1,521 sqft",Apartment,1,2,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"1,110,000 AED",909 sqft,Apartment,1,2,"No.9, Dubai Marina, Dubai"
"9,125,888 AED","12,787 sqft",Land,,,"Emerald Hills, Dubai Hills Estate, Dubai"
"12,500,000 AED","13,273 sqft",Villa,6,7,"Fairway Vistas, Dubai Hills, Dubai Hills Estate, Dubai"
"45,999,000 AED","15,281 sqft",Villa,7,7,"Sector H, Emirates Hills, Dubai"
"1,450,000 AED","1,588 sqft",Apartment,2,4,"Jash Hamad, Shoreline Apartments, Palm Jumeirah, Dubai"
"2,050,000 AED","2,314 sqft",Apartment,3,4,"Trident Bayside, Dubai Marina, Dubai"
"1,350,000 AED","1,067 sqft",Apartment,2,2,"Silverene Tower B, Silverene, Dubai Marina, Dubai"
"1,800,000 AED","2,158 sqft",Apartment,3,4,"Jash Hamad, Shoreline Apartments, Palm Jumeirah, Dubai"
"1,100,000 AED",887 sqft,Apartment,1,2,"Ansam, Yas Island, Abu Dhabi"
"2,899,999 AED","3,900 sqft",Villa,5,4,"The Aldea, The Villa, Dubai"
"2,010,000 AED",858 sqft,Apartment,1,1,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"5,500,000 AED","8,323 sqft",Villa,5,7,"Ponderosa, The Villa, Dubai"
"828,241 AED",670 sqft,Apartment,1,2,"The Terraces, Sobha Hartland, Mohammed Bin Rashid City, Dubai"
"458,950 AED",681 sqft,Apartment,1,2,"La Riviera Estate A, La Riviera Estate, Jumeirah Village Circle, Dubai"
"1,399,000 AED",943 sqft,Apartment,1,2,"Building 13B, City Walk, Dubai"
"3,450,000 AED","3,237 sqft",Villa,4,4,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
"5,400,000 AED","6,948 sqft",Villa,5,6,"Wildflower, Earth, Jumeirah Golf Estates, Dubai"
"3,800,000 AED","22,550 sqft",Land,,,"Khalifa City C, Khalifa City, Abu Dhabi"
"2,500,000 AED","1,994 sqft",Apartment,2,4,"Al Nabat, Shoreline Apartments, Palm Jumeirah, Dubai"
"1,850,000 AED","1,551 sqft",Apartment,2,3,"Park Gate Residences, Al Kifaf, Dubai"
"779,000 AED",493 sqft,Apartment,1,2,"Sobha Creek Vistas, Sobha Hartland, Mohammed Bin Rashid City, Dubai"
"1,397,000 AED","1,544 sqft",Villa,3,4,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"1,120,000 AED","1,183 sqft",Apartment,2,2,"Waters Edge, Yas Island, Abu Dhabi"
"4,300,000 AED","10,500 sqft",Land,,,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"1,275,000 AED","1,886 sqft",Apartment,2,2,"Golden Mile 4, Golden Mile, Palm Jumeirah, Dubai"
"2,495,000 AED","1,785 sqft",Apartment,3,4,"Silverene Tower A, Silverene, Dubai Marina, Dubai"
"950,000 AED","1,316 sqft",Apartment,2,2,"Aria, Jumeirah Village Circle, Dubai"
"954,366 AED","954,366 sqft",Apartment,2,2,"Aria, Jumeirah Village Circle, Dubai"
"610,000 AED",746 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"3,999,950 AED","5,050 sqft",Apartment,3,5,"Marina Tower, Dubai Marina, Dubai"
"2,400,000 AED","2,418 sqft",Villa,4,4,"Maple 3, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"4,555,000 AED","1,970 sqft",Apartment,3,3,"Grand Bleu Tower, EMAAR Beachfront, Dubai Harbour, Dubai"
"365,000 AED",385 sqft,Apartment,Studio,1,"Oxford Residence 2, Jumeirah Village Circle, Dubai"
"3,199,999 AED","3,216 sqft",Villa,3,4,"Saheel 1, Saheel, Arabian Ranches, Dubai"
"4,750,000 AED","4,261 sqft",Villa,5,5,"Mirador La Coleccion 1, Mirador La Coleccion, Arabian Ranches, Dubai"
"1,849,950 AED","2,258 sqft",Villa,3,2,"Springs 11, The Springs, Dubai"
"5,350,000 AED","10,700 sqft",Land,,,"Al Wasl Villas, Al Wasl Road, Al Wasl, Dubai"
"3,600,000 AED","4,844 sqft",Villa,4,5,"The Cedars, Yas Acres, Yas Island, Abu Dhabi"
"11,675,888 AED","8,488 sqft",Villa,6,6,"Golf Place, Dubai Hills Estate, Dubai"
"555,888 AED",482 sqft,Apartment,1,2,"UNA Apartments, Town Square, Dubai"
